gameCreation, gameDuration, championName, win, allInPings, baitPings, basicPings, commandPings, dangerPings, enemyMissingPings, enemyVisionPings, getBackPings, holdPings, needVisionPings, onMyWayPings, pushPings
29 - 04 - 2023, 00: 33: 31, Akali, true, 1, 0, 0, 9, 0, 6, 2, 4, 0, 0, 15, 0
28 - 04 - 2023, 00: 35: 26, Vex, false, 3, 1, 0, 5, 0, 9, 0, 1, 1, 0, 9, 0
28 - 04 - 2023, 00: 36: 12, TwistedFate, true, 2, 0, 0, 8, 0, 12, 1, 0, 1, 0, 15, 0
28 - 04 - 2023, 00: 15: 54, Ahri, true, 0, 0, 0, 1, 0, 7, 2, 0, 1, 0, 2, 0
25 - 04 - 2023, 00: 31: 04, Zed, true, 0, 1, 0, 6, 0, 6, 0, 0, 0, 0, 20, 0
25 - 04 - 2023, 00: 34: 13, Annie, false, 0, 0, 0, 1, 0, 5, 1, 0, 0, 0, 9, 0
25 - 04 - 2023, 00: 25: 06, Yasuo, true, 0, 0, 0, 4, 0, 2, 0, 1, 0, 0, 6, 0
24 - 04 - 2023, 00: 28: 39, Vladimir, false, 0, 0, 0, 1, 0, 3, 0, 0, 1, 0, 6, 0
16 - 04 - 2023, 00: 25: 08, Akali, true, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 6, 0
16 - 04 - 2023, 00: 29: 36, Ezreal, true, 1, 0, 0, 5, 0, 5, 2, 0, 0, 0, 6, 0
16 - 04 - 2023, 00: 41: 12, Akali, false, 0, 0, 0, 4, 0, 12, 0, 2, 0, 0, 3, 0
14 - 04 - 2023, 00: 28: 26, Ashe, false, 0, 0, 0, 5, 0, 11, 1, 0, 0, 0, 10, 0
10 - 04 - 2023, 00: 24: 25, Yasuo, true, 1, 0, 0, 1, 0, 5, 3, 1, 0, 0, 14, 0
09 - 04 - 2023, 00: 41: 44, Ezreal, false, 0, 0, 0, 4, 0, 2, 3, 0, 0, 0, 10, 0
09 - 04 - 2023, 00: 26: 55, Zed, true, 0, 0, 0, 1, 0, 5, 2, 0, 0, 0, 10, 0
09 - 04 - 2023, 00: 37: 11, Akali, false, 1, 0, 0, 2, 0, 6, 3, 0, 0, 0, 18, 0
09 - 04 - 2023, 00: 24: 54, Zed, false, 2, 0, 0, 0, 0, 7, 0, 0, 0, 0, 14, 0
09 - 04 - 2023, 00: 29: 35, Ashe, false, 0, 0, 0, 7, 0, 3, 0, 2, 0, 0, 6, 0
08 - 04 - 2023, 00: 19: 19, Nautilus, false, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0
