gameCreation,gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
21-05-2023,00:31:16,Jhin,true,1,0,0,12,0,12,0,7,1,0,33,0
21-05-2023,00:30:43,Khazix,true,2,1,0,18,0,22,1,15,1,0,29,0
21-05-2023,00:23:56,Ezreal,false,3,0,0,15,0,20,0,3,0,0,32,0
21-05-2023,00:34:06,Lucian,true,4,0,0,8,0,15,0,13,1,0,45,0
21-05-2023,00:36:33,Lucian,true,5,0,0,10,0,10,0,12,1,0,73,0
20-05-2023,00:30:39,Lucian,true,1,0,0,9,0,15,0,25,2,0,47,1
20-05-2023,00:01:43,Draven,false,0,0,0,0,0,0,0,0,0,0,0,0
20-05-2023,00:23:17,Hecarim,false,2,1,0,12,0,17,0,10,0,0,32,0
20-05-2023,00:21:56,Jhin,true,0,0,0,5,0,5,0,2,3,0,22,0
20-05-2023,00:23:38,Graves,false,0,0,0,5,0,10,0,9,0,0,34,0
20-05-2023,00:25:39,Gnar,false,0,0,0,14,0,11,0,0,0,0,20,0
20-05-2023,00:26:09,Nidalee,false,1,1,0,0,0,3,0,2,0,0,30,0
20-05-2023,00:35:39,Jhin,false,3,1,0,3,0,15,0,6,2,0,43,0
19-05-2023,00:26:16,Hecarim,false,1,0,0,5,0,2,0,13,0,0,33,0
19-05-2023,00:26:00,Khazix,true,1,0,0,5,0,4,0,16,0,0,32,0
19-05-2023,00:15:15,Khazix,true,0,0,0,6,0,3,0,2,0,0,22,0
19-05-2023,00:41:59,Ezreal,false,5,0,0,12,0,12,0,12,4,0,73,0
19-05-2023,00:29:36,Graves,true,5,0,0,10,0,10,0,13,3,0,55,0
19-05-2023,00:21:33,Belveth,false,1,0,0,3,0,4,0,1,0,0,37,0
18-05-2023,00:18:26,Khazix,true,2,0,0,7,0,0,0,6,0,0,22,0
18-05-2023,00:15:13,Neeko,false,0,1,0,6,0,3,0,6,0,0,6,0
18-05-2023,00:16:01,Kaisa,false,0,0,0,7,0,3,0,1,0,0,30,0
