gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
00:23:04,Nautilus,true,0,0,0,6,0,2,2,4,0,0,5,0
00:17:57,Kalista,true,0,0,0,4,0,2,0,2,0,0,11,0
00:34:08,Ahri,true,0,0,0,9,0,4,3,8,3,0,17,0
00:30:09,Jinx,false,0,0,0,2,0,4,0,0,0,0,4,0
00:21:39,Gragas,false,0,0,0,1,0,14,1,0,0,0,0,0
00:04:58,Gragas,true,0,0,0,0,0,2,0,0,0,0,0,0
00:27:11,Gragas,true,1,0,0,19,0,17,4,2,1,0,23,0
00:22:47,Ahri,true,0,0,0,8,0,2,1,3,0,0,0,0
00:24:05,Gragas,true,0,0,0,5,0,0,2,4,0,0,1,0
00:36:25,Gragas,false,0,0,0,5,0,9,0,1,0,0,10,1
00:21:10,Ahri,true,0,0,0,17,0,13,2,1,1,0,12,0
00:21:09,Annie,true,0,0,0,9,0,8,0,5,0,0,3,0
00:26:08,Jinx,true,0,0,0,4,0,2,1,1,0,0,3,0
00:35:10,AurelionSol,false,0,1,0,9,0,10,2,3,1,0,10,0
00:21:01,Karma,false,0,0,0,2,0,4,1,1,0,0,3,0
00:26:08,Jayce,true,0,0,0,8,0,7,1,0,0,0,1,0
00:25:58,Annie,false,0,0,0,10,0,3,0,1,0,0,14,0
00:27:50,Cassiopeia,false,0,0,0,6,0,11,0,2,1,0,0,0
00:21:34,Kennen,false,0,0,0,0,0,0,0,1,0,0,3,0
00:24:59,KSante,false,0,0,0,6,0,11,0,1,1,0,3,0
00:30:26,Galio,true,0,0,0,18,0,6,2,4,0,0,2,0
00:29:09,Sylas,true,0,0,0,7,0,5,0,10,0,0,5,0
00:23:11,KSante,false,0,0,0,6,0,16,0,3,0,0,2,0
00:33:27,KSante,true,0,0,0,4,0,7,1,6,0,0,8,0
00:30:14,Yone,false,0,1,0,1,0,3,1,4,1,0,2,0
00:23:29,AurelionSol,false,0,0,0,1,0,4,1,0,0,0,3,0
00:22:43,Leblanc,false,0,0,0,5,0,4,3,10,0,0,11,0
00:29:28,Cassiopeia,true,0,0,0,14,0,2,2,2,0,0,7,0
00:23:38,Syndra,false,0,0,0,2,0,11,0,2,0,0,7,0
00:41:40,AurelionSol,true,3,0,0,13,0,15,3,7,0,0,8,0
00:05:38,Galio,false,0,0,0,0,0,0,0,0,0,0,0,0
00:15:25,Leblanc,true,0,0,0,4,0,8,0,3,0,0,7,0
00:21:40,Aphelios,false,0,0,0,7,0,1,0,0,0,0,0,0
00:15:32,Ahri,true,0,0,0,5,0,4,0,1,0,0,4,0
00:31:31,Annie,false,0,0,0,16,0,32,2,0,1,0,21,0
00:19:53,Yone,true,0,0,0,1,0,7,0,2,0,0,2,0
00:30:36,Kennen,true,0,0,0,7,0,7,0,1,0,0,2,0
00:21:06,Sylas,false,0,0,0,4,0,0,0,1,0,0,5,0
00:23:52,Jinx,true,2,0,0,11,0,10,0,8,2,0,13,0
00:27:25,AurelionSol,true,1,0,0,11,0,7,2,2,0,0,8,0
00:30:41,Annie,false,0,0,0,17,0,3,0,4,1,0,6,0
00:33:34,Annie,false,0,1,0,8,0,12,1,3,2,0,34,0
00:29:16,Jayce,true,0,1,0,4,0,2,0,0,0,0,4,0
00:18:41,Jinx,true,0,0,0,6,0,4,0,1,2,0,8,0
00:24:52,Annie,true,0,0,0,7,0,5,0,0,0,0,11,0
00:35:07,Jinx,false,0,0,0,8,0,2,0,1,1,0,5,0
00:26:48,Irelia,true,0,0,0,14,0,1,3,0,0,0,8,0
00:20:13,Cassiopeia,false,0,0,0,8,0,5,0,0,0,0,5,0
00:29:57,Annie,true,0,0,0,8,0,12,1,3,0,0,4,0
00:28:35,KSante,true,2,0,0,17,0,19,0,2,1,0,3,0
00:35:32,MasterYi,true,0,0,0,6,0,3,0,0,0,0,12,0
00:23:17,Kennen,true,0,0,0,9,0,6,0,0,0,0,11,0
00:31:28,Annie,false,0,0,0,20,0,8,1,0,2,0,17,0
00:15:57,FiddleSticks,false,0,0,0,4,0,6,0,1,0,0,6,0
00:15:46,AurelionSol,false,0,0,0,10,0,4,0,0,0,0,1,0
00:32:34,Ahri,false,0,0,0,11,0,4,3,2,0,0,16,0
00:32:08,Quinn,false,0,0,0,4,0,12,1,1,0,0,17,0
00:34:27,Yone,true,0,0,0,10,0,8,1,1,0,0,6,0
00:29:17,Cassiopeia,true,0,0,0,10,0,4,3,0,0,0,11,0
00:18:42,Jinx,false,0,0,0,3,0,0,0,0,0,0,1,0
00:26:36,Jayce,false,0,0,0,12,0,11,1,0,0,0,1,0
00:26:26,FiddleSticks,false,0,0,0,38,0,10,0,0,0,0,0,0
00:37:09,FiddleSticks,false,0,0,0,36,0,12,1,1,1,0,5,0
00:31:57,FiddleSticks,false,0,0,0,10,0,3,3,0,1,0,11,1
00:25:00,FiddleSticks,true,0,1,0,9,0,14,0,1,0,0,1,0
00:27:32,FiddleSticks,true,1,0,0,6,0,19,0,4,0,0,8,0
00:35:27,FiddleSticks,true,0,0,0,20,0,4,0,1,0,0,8,0
00:19:07,Caitlyn,true,0,0,0,1,0,4,1,0,1,0,2,0
00:28:42,FiddleSticks,false,0,0,0,21,0,11,0,0,0,0,5,0
00:26:06,Kennen,false,0,0,0,4,0,4,1,2,0,0,2,0
00:22:14,Ahri,true,0,0,0,14,0,6,1,4,0,0,16,0
00:29:29,Syndra,true,0,1,0,19,0,20,7,4,1,0,16,0
00:33:34,KSante,true,0,0,0,15,0,7,0,3,0,0,10,0
00:31:15,Kennen,true,0,0,0,23,0,5,0,2,0,0,4,0
00:25:40,KSante,true,0,0,0,6,0,5,0,5,0,0,10,0
00:26:11,AurelionSol,true,0,0,0,27,0,4,0,4,0,0,5,1
00:16:10,Rumble,true,0,0,0,7,0,2,1,5,0,0,4,0
00:38:04,Kennen,true,0,0,0,13,0,5,0,0,0,0,13,1
00:26:49,Ornn,false,0,0,0,11,0,6,0,3,0,0,2,0
00:33:57,Cassiopeia,false,0,0,0,13,0,3,5,4,0,1,0,0
00:26:11,Jinx,true,0,0,0,5,0,3,0,0,0,0,0,0
00:19:11,Nautilus,false,0,0,0,6,0,4,1,2,0,0,13,0
00:32:06,Nidalee,false,0,0,0,2,0,0,0,2,0,0,11,0
00:23:21,Zoe,true,0,0,0,0,0,9,0,3,0,0,0,0
00:28:03,Syndra,true,0,0,0,18,0,3,2,1,0,0,12,0
00:18:36,Cassiopeia,false,0,0,0,3,0,0,0,6,0,0,1,0
00:15:51,Cassiopeia,true,0,0,0,2,0,7,1,0,0,0,4,0
00:19:11,Ahri,true,0,0,0,3,0,4,0,0,0,0,8,0
00:28:55,Cassiopeia,true,0,0,0,8,0,1,3,5,0,0,14,0
00:18:57,Zoe,true,0,0,0,1,0,7,3,0,0,1,1,0
00:35:48,Jayce,false,0,0,0,11,0,7,0,1,0,0,1,0
00:26:32,Cassiopeia,false,0,0,0,4,0,2,2,4,2,0,11,0
00:33:41,Aphelios,true,0,0,0,10,0,0,1,1,0,0,7,0
00:23:56,Nautilus,true,0,0,0,6,0,8,1,1,0,0,11,0
00:33:56,Cassiopeia,true,0,0,0,18,0,6,2,6,0,0,0,0
00:25:26,Sylas,true,0,0,0,5,0,5,0,1,0,0,3,0
00:26:05,Ahri,true,0,0,0,11,0,5,2,0,2,0,5,0
00:30:15,Kennen,false,0,0,0,3,0,13,1,0,0,0,3,0
00:22:18,Lissandra,true,0,0,0,14,0,11,1,2,0,0,14,0
00:21:01,Leblanc,false,0,0,0,2,0,5,0,0,0,0,0,0
00:24:44,Sylas,true,0,0,0,7,0,5,0,0,0,0,3,0
00:30:06,Annie,true,0,0,0,11,0,2,1,2,0,0,3,0
00:25:58,Cassiopeia,true,0,0,0,0,0,2,3,1,1,0,6,0
00:22:04,KSante,false,0,0,0,0,0,3,2,0,0,0,1,0
00:15:27,AurelionSol,true,0,0,0,4,0,4,0,0,0,0,1,0
00:22:10,Jinx,false,0,0,0,1,0,1,0,0,0,0,0,0
00:30:28,AurelionSol,true,0,0,0,18,0,14,0,0,0,0,2,0
00:35:31,AurelionSol,false,0,0,0,12,0,3,0,0,0,0,9,0
00:25:40,KSante,false,0,0,0,2,0,2,0,2,0,0,1,0
00:18:49,Nautilus,true,0,0,0,8,0,4,2,0,0,0,19,0
00:27:07,Kennen,false,0,0,0,1,0,0,0,0,0,0,1,0
00:21:10,AurelionSol,false,0,0,0,3,0,7,0,0,0,0,16,0
00:43:21,Cassiopeia,false,0,0,0,11,0,2,0,2,1,0,3,0
00:31:14,AurelionSol,true,0,0,0,3,0,0,0,0,0,0,5,0
00:22:54,Zoe,true,0,0,0,4,0,4,0,0,0,0,8,1
00:29:41,Gragas,false,0,1,0,17,0,9,1,1,0,0,1,0
00:25:05,Gragas,true,0,0,0,2,0,5,5,1,0,0,4,0
00:15:12,Leblanc,true,0,0,0,3,0,11,1,5,0,0,9,0
00:22:11,AurelionSol,false,0,0,0,6,0,13,1,0,1,0,2,0
00:30:35,Zeri,true,0,0,0,1,0,13,3,0,2,0,6,0
