Total Partidas,804	
Soma Total Pings,13.824				
Média Pings Total,17.194				
Mediana,11				
Máxima,125				
Mínima,0				
Mais Frequentes,1 => 59,	0 => 49,	3 => 45,	4 => 40,	2 => 39
Vitórias,431
Média Pings Vitória,18.740
Soma Pings Vitória,8007
Derrotas,373
Média Pings Derrota,15.407
Soma Pings Derrota,5747
