gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
00:19:26,Draven,false,1,0,0,7,0,2,2,0,0,0,5,0
00:21:06,Khazix,true,0,1,0,16,0,5,2,0,0,0,17,1
00:25:00,Lucian,true,0,1,0,5,0,3,1,2,0,0,9,0
00:19:43,Aphelios,false,0,0,0,5,0,2,5,0,0,0,0,0
00:35:40,Aphelios,true,1,0,0,27,0,6,4,0,1,0,40,0
00:16:06,Khazix,true,0,0,0,1,0,6,0,1,1,0,22,0
00:16:01,Ezreal,false,0,0,0,6,0,2,4,0,1,0,7,1
00:24:25,Xayah,true,0,1,0,20,0,7,3,3,0,0,16,0
00:30:25,Lucian,false,1,0,0,8,0,6,7,5,1,0,10,0
00:27:22,Yone,false,0,0,0,0,0,0,1,0,0,0,13,0
00:31:17,Jinx,false,0,1,0,11,0,2,4,0,1,0,9,0
00:20:13,Gragas,true,0,0,0,3,0,5,0,0,0,0,6,0
00:25:02,Draven,false,0,0,0,10,0,2,1,2,0,0,9,0
00:36:28,Jinx,false,0,0,0,83,0,16,8,3,0,1,30,0
00:18:02,Draven,true,0,0,0,29,0,1,4,0,0,0,3,0
00:29:18,Aphelios,true,1,1,0,15,0,15,4,2,1,0,3,0
00:26:28,Jinx,true,0,0,0,6,0,0,0,0,0,0,8,0
00:28:23,Vex,false,0,0,0,6,0,7,0,0,0,0,8,0
00:28:01,Draven,true,0,4,0,9,0,8,3,4,1,0,7,0
00:27:58,Thresh,true,0,1,0,4,0,0,4,3,1,0,6,0
00:29:36,Rakan,false,2,0,0,9,0,9,12,3,0,1,12,0
00:32:01,Draven,true,2,0,0,14,0,9,3,1,0,1,15,0
00:32:49,Thresh,true,0,0,0,7,0,7,5,6,0,0,39,1
00:35:07,Ezreal,true,0,0,0,5,0,2,3,0,0,0,8,0
00:27:11,Thresh,false,2,0,0,4,0,10,6,0,0,0,16,0
00:25:39,Blitzcrank,true,0,0,0,4,0,1,17,1,0,0,12,0
00:19:38,Zeri,false,0,0,0,12,0,2,4,0,0,0,2,0
00:24:48,Thresh,false,1,0,0,13,0,9,4,0,1,1,15,0
00:15:13,Aphelios,true,0,0,0,3,0,1,0,0,0,0,1,0
00:31:41,Xayah,true,0,0,0,6,0,1,5,0,0,0,10,0
00:16:46,Thresh,true,0,0,0,2,0,5,6,0,0,0,7,0
00:21:54,Ezreal,true,0,0,0,1,0,0,3,0,0,0,4,0
00:28:37,Ezreal,true,0,0,0,4,0,5,1,0,0,0,1,0
00:15:27,Jinx,true,1,0,0,7,0,6,0,2,0,0,11,0
00:24:49,Aphelios,false,0,0,0,12,0,13,7,2,0,0,12,0
00:28:00,Nautilus,true,0,0,0,15,0,0,8,2,0,0,7,0
00:15:20,Jinx,false,0,0,0,3,0,10,2,2,1,0,1,0
00:26:04,Aphelios,false,1,0,0,12,0,8,3,0,0,0,16,0
00:26:31,LeeSin,false,3,1,0,6,0,5,3,3,0,0,15,0
00:22:48,Ezreal,false,0,0,0,7,0,5,0,2,0,0,8,0
00:27:44,Aphelios,false,0,0,0,35,0,10,3,6,0,0,10,0
00:38:06,Draven,true,0,0,0,6,0,4,1,13,0,0,19,0
00:25:43,Varus,true,0,0,0,13,0,9,1,2,0,0,2,0
00:28:35,Ahri,false,4,1,0,22,0,7,5,10,0,0,19,0
00:30:10,Aphelios,true,2,0,0,26,0,1,3,8,0,0,28,0
00:15:19,Pyke,true,0,0,0,7,0,4,1,1,0,0,7,0
00:23:19,Draven,false,0,0,0,11,0,4,6,9,0,0,13,0
00:15:14,Thresh,false,0,0,0,3,0,0,2,1,0,0,3,0
00:21:38,Jinx,true,0,0,0,6,0,1,0,1,0,0,8,0
00:18:03,Nidalee,false,0,0,0,2,0,8,0,0,0,0,7,0
00:32:00,Nidalee,false,1,0,0,6,0,3,1,1,0,0,17,0
00:26:13,Jinx,false,0,0,0,7,0,14,1,1,0,0,5,0
00:25:06,Jinx,true,0,0,0,1,0,3,2,0,0,0,4,1
00:25:00,Nautilus,false,2,0,0,14,0,7,4,3,0,0,5,0
00:25:48,Jinx,false,0,3,0,4,0,8,3,0,0,0,5,0
00:29:12,Jinx,false,0,1,0,13,0,3,1,1,0,0,4,0
00:34:38,Xayah,true,2,0,0,6,0,1,2,1,1,0,8,0
00:25:20,Ezreal,true,0,0,0,9,0,1,0,0,0,0,13,0
00:33:10,Blitzcrank,false,2,0,0,11,0,3,4,2,0,0,25,0
00:25:53,Nidalee,false,0,0,0,2,0,2,2,0,0,0,2,0
00:20:37,LeeSin,false,0,0,0,5,0,1,0,0,0,0,11,0
00:27:59,Xayah,false,0,0,0,5,0,1,0,0,1,0,2,0
00:30:17,Taliyah,false,0,0,0,12,0,1,1,0,1,0,17,0
00:15:38,Xayah,false,0,0,0,2,0,4,1,0,0,0,4,0
00:29:24,Sion,true,1,0,0,4,0,3,1,0,0,0,6,0
00:32:10,Viktor,true,0,0,0,6,0,3,0,10,0,0,18,0
00:33:28,Zeri,true,0,0,0,23,0,2,0,2,0,0,19,0
00:33:39,Renekton,false,0,0,0,13,0,11,3,0,0,0,3,0
00:23:10,Ezreal,true,0,0,0,2,0,3,0,0,0,0,4,0
00:26:09,Zeri,false,0,0,0,11,0,1,1,0,0,0,3,0
00:24:34,Vayne,true,0,0,0,3,0,2,0,0,0,0,2,0
00:23:07,Draven,false,0,0,0,3,0,0,2,2,0,0,5,0
00:27:58,Caitlyn,false,0,0,0,2,0,1,1,4,0,0,3,0
00:31:51,Aphelios,true,1,1,0,19,0,2,2,0,0,0,15,0
00:27:34,Jinx,true,0,0,0,11,0,6,4,1,1,0,5,0
00:22:25,Nautilus,true,0,0,0,7,0,1,2,0,0,0,9,0
00:24:54,Jinx,false,0,1,0,5,0,1,2,2,0,0,4,0
00:29:01,Ahri,false,0,0,0,11,0,2,4,4,1,0,15,0
00:15:29,Aphelios,false,0,0,0,9,0,3,0,1,1,0,2,0
00:15:40,Lucian,true,1,0,0,4,0,0,0,1,0,0,12,0
00:24:02,Lulu,false,0,2,0,16,0,8,5,1,0,0,13,1
00:27:11,Rakan,false,0,0,0,5,0,5,4,0,0,0,8,0
00:32:36,Zeri,false,0,0,0,3,0,3,1,2,0,0,4,0
00:15:35,Varus,false,0,0,0,0,0,1,1,0,0,0,1,0
00:16:23,Zeri,false,0,0,0,12,0,3,0,1,0,0,7,0
00:15:24,Irelia,false,0,0,0,0,0,1,1,3,0,0,1,0
00:30:13,Ezreal,false,0,0,0,7,0,3,1,2,0,0,10,0
00:19:40,Zeri,true,0,0,0,3,0,0,0,2,0,0,7,0
00:15:27,Nautilus,false,0,0,0,2,0,3,1,0,0,0,4,0
00:28:06,Rakan,true,0,0,0,0,0,4,3,0,0,0,13,0
00:28:07,LeeSin,false,0,0,0,4,0,2,2,0,0,0,14,0
00:29:56,Xayah,false,0,0,0,13,0,0,0,1,0,0,21,0
00:31:36,Ezreal,true,0,0,0,4,0,9,1,0,0,0,9,0
00:18:43,Varus,false,0,0,0,3,0,1,5,0,0,0,1,0
00:15:27,Xayah,true,0,0,0,7,0,0,1,0,0,0,4,0
00:28:32,Veigar,false,0,0,0,6,0,2,4,1,0,0,5,1
00:29:38,Veigar,true,1,0,0,7,0,3,0,0,0,0,8,0
00:28:13,Rakan,false,0,0,0,7,0,2,2,1,0,0,5,0
00:31:02,Thresh,false,0,0,0,11,0,2,3,3,0,0,7,0
00:28:57,Zeri,false,0,0,0,19,0,1,4,0,0,0,18,0
00:01:47,Ezreal,false,0,0,0,0,0,3,1,2,0,0,0,0
00:30:31,Ashe,false,0,0,0,31,0,3,0,7,0,0,4,1
