player_alias,start_date,end_date,pings_count,pings_mean,pings_ratio,pings_median,pings_sum,pings_std,win_pings_count,win_pings_mean,win_pings_median,win_pings_sum,win_pings_std,win_pings_ratio_mean,win_pings_ratio_std,lose_pings_count,lose_pings_mean,lose_pings_median,lose_pings_sum,lose_pings_std,lose_pings_ratio_mean,lose_pings_ratio_std
akaashi,2023-01-25,2023-06-27,500,10.296,0.379,9,5148,6.48,271,10.734,10,2909,6.69,0.405,0.229,229,9.777,9,2239,6.196,0.349,0.204
tekendol,2023-04-13,2023-06-27,524,26.637,0.965,22,13958,21.122,289,28.263,22,8168,22.586,0.999,0.696,235,24.638,21,5790,19.028,0.924,0.639
nataruk,2023-01-23,2023-06-28,674,7.371,0.265,6,4968,6.047,352,7.781,6,2739,6.461,0.286,0.223,322,6.922,6,2229,5.535,0.241,0.181
tabrao,2022-11-04,2023-07-02,768,14.941,0.548,13,11475,10.209,404,16.171,15,6533,10.405,0.602,0.348,364,13.577,11,4942,9.823,0.488,0.315
fefo,2022-12-29,2023-07-03,93,56.591,1.992,52,5263,31.76,53,55.943,51,2965,33.59,1.955,0.927,40,57.45,54,2298,29.559,2.041,0.858
mazemind,2023-04-01,2023-07-04,598,26.637,1.023,23,15929,19.096,318,27.701,25,8809,19.928,1.059,0.65,280,25.429,22,7120,18.063,0.982,0.7
princess,2022-11-02,2023-07-05,705,25.163,0.892,23,17740,14.095,387,24.238,23,9380,13.684,0.866,0.411,318,26.289,24,8360,14.521,0.925,0.453
luigi,2023-01-28,2023-07-02,818,17.315,0.627,15,14164,11.61,425,17.268,15,7339,11.575,0.633,0.36,393,17.366,15,6825,11.662,0.62,0.352
